key,wearit_col_qnum,wearit_col_ques,wearit_col_label,filenames
"4 AM,240",Q_4983,300,What is your average wakeup time?,Intake_Survey
"5 AM,300",Q_4983,300,What is your average wakeup time?,Intake_Survey
"6 AM,360",Q_4983,300,What is your average wakeup time?,Intake_Survey
"7 AM,420",Q_4983,300,What is your average wakeup time?,Intake_Survey
"8 AM,480",Q_4983,300,What is your average wakeup time?,Intake_Survey
"9 AM,540",Q_4983,300,What is your average wakeup time?,Intake_Survey
"10 AM,600",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
"No Response,-1",Q_4983,300,What is your average wakeup time?,Intake_Survey
NA,2022-01-18 08:59:44,2022-01-18 08:59:44,2022-01-18 08:59:44,Intake_Survey
NA,2022-01-18 08:59:44,2022-01-18 08:59:44,2022-01-18 08:59:44,Intake_Survey
NA,idol-pp00v,idol-pp00v,idol-pp00v,Intake_Survey
NA,...4,Intake Survey,Survey Name,Intake_Survey
NA,External ID,Android_18Jan2022,NA,Intake_Survey
NA,Alert Times,N/A,NA,Intake_Survey
NA,Model,SM-G970U,NA,Intake_Survey
NA,OS,11,NA,Intake_Survey
